kernel,max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
poly,9.0,0.1,0.1,0.8111111111111111,0.7539503386004515,0.925207756232687,0.8308457711442786,0.8107932931581262
poly,10.0,0.1,0.1,0.8111111111111111,0.7539503386004515,0.925207756232687,0.8308457711442786,0.8107932931581262
poly,5.0,0.1,0.1,0.8083333333333333,0.7539863325740319,0.9168975069252078,0.8274999999999999,0.8080309261645537
poly,10.0,0.1,0.15,0.8083333333333333,0.7551487414187643,0.9141274238227147,0.8270676691729323,0.8080386422734744
poly,9.0,0.1,0.15,0.8083333333333333,0.7551487414187643,0.9141274238227147,0.8270676691729323,0.8080386422734744
poly,6.0,0.1,0.1,0.8069444444444445,0.7522727272727273,0.9168975069252078,0.8264669163545568,0.8066381685043865
poly,4.0,0.1,0.1,0.8069444444444445,0.7522727272727273,0.9168975069252078,0.8264669163545568,0.8066381685043865
poly,8.0,0.1,0.1,0.8069444444444445,0.7522727272727273,0.9168975069252078,0.8264669163545568,0.8066381685043865
poly,7.0,0.1,0.1,0.8069444444444445,0.7522727272727273,0.9168975069252078,0.8264669163545568,0.8066381685043865
poly,4.0,0.3,0.15,0.8069444444444445,0.7534246575342466,0.9141274238227147,0.8260325406758449,0.8066458846133072
poly,9.0,0.1,0.2,0.8069444444444445,0.7545871559633027,0.9113573407202216,0.8255959849435384,0.8066536007222278
poly,10.0,0.1,0.2,0.8069444444444445,0.7545871559633027,0.9113573407202216,0.8255959849435384,0.8066536007222278
poly,10.0,0.1,0.3,0.8069444444444445,0.7545871559633027,0.9113573407202216,0.8255959849435384,0.8066536007222278
poly,9.0,0.1,0.25,0.8069444444444445,0.7545871559633027,0.9113573407202216,0.8255959849435384,0.8066536007222278
poly,9.0,0.1,0.3,0.8069444444444445,0.7545871559633027,0.9113573407202216,0.8255959849435384,0.8066536007222278
poly,10.0,0.1,0.25,0.8069444444444445,0.7545871559633027,0.9113573407202216,0.8255959849435384,0.8066536007222278
poly,5.0,0.3,0.15,0.8055555555555556,0.7517084282460137,0.9141274238227147,0.8250000000000001,0.80525312695314
poly,4.0,0.3,0.3,0.8055555555555556,0.7528604118993135,0.9113573407202216,0.824561403508772,0.8052608430620607
poly,4.0,0.3,0.25,0.8055555555555556,0.7528604118993135,0.9113573407202216,0.824561403508772,0.8052608430620607
poly,9.0,0.3,0.1,0.8027777777777778,0.7449664429530202,0.9224376731301939,0.8242574257425742,0.8024444633060439
poly,10.0,0.3,0.1,0.8027777777777778,0.7449664429530202,0.9224376731301939,0.8242574257425742,0.8024444633060439
poly,5.0,0.3,0.1,0.8041666666666667,0.75,0.9141274238227147,0.8239700374531834,0.803860369292973
poly,4.0,0.3,0.1,0.8041666666666667,0.75,0.9141274238227147,0.8239700374531834,0.803860369292973
poly,9.0,0.3,0.3,0.8013888888888889,0.7433035714285714,0.9224376731301939,0.8232385661310259,0.8010517056458768
poly,9.0,0.3,0.25,0.8013888888888889,0.7433035714285714,0.9224376731301939,0.8232385661310259,0.8010517056458768
poly,10.0,0.3,0.3,0.8013888888888889,0.7433035714285714,0.9224376731301939,0.8232385661310259,0.8010517056458768
poly,10.0,0.3,0.25,0.8013888888888889,0.7433035714285714,0.9224376731301939,0.8232385661310259,0.8010517056458768
poly,4.0,0.2,0.3,0.8055555555555556,0.7563805104408353,0.9030470914127424,0.8232323232323234,0.8052839913888225
poly,4.0,0.2,0.25,0.8055555555555556,0.7563805104408353,0.9030470914127424,0.8232323232323234,0.8052839913888225
poly,4.0,0.3,0.2,0.8041666666666667,0.7522935779816514,0.9085872576177285,0.823086574654956,0.8038758015108141
poly,5.0,0.3,0.25,0.8041666666666667,0.7522935779816514,0.9085872576177285,0.823086574654956,0.8038758015108141
poly,5.0,0.3,0.3,0.8041666666666667,0.7522935779816514,0.9085872576177285,0.823086574654956,0.8038758015108141
poly,5.0,0.1,0.3,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,5.0,0.2,0.3,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,6.0,0.1,0.3,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,7.0,0.1,0.3,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,4.0,0.1,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,8.0,0.1,0.3,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,4.0,0.2,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,4.0,0.1,0.3,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,5.0,0.1,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,5.0,0.2,0.25,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,4.0,0.1,0.2,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,6.0,0.1,0.2,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,7.0,0.1,0.2,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,8.0,0.1,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,8.0,0.1,0.2,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,5.0,0.1,0.2,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
